"brand","year","mileage","engine_size","automatic_transmission","fuel","drivetrain","min_mpg","max_mpg","damaged","first_owner","navigation_system","bluetooth","third_row_seating","heated_seats","price"
"BMW",2017,76957,2,1,"Petrol","Rear-wheel Drive",23,34,1,0,0,1,0,0,23399
"MINI",2015,87121,1.6,0,"Petrol","Front-wheel Drive",23,32,0,0,0,1,0,0,13485
"Lexus",2019,36826,4.6,1,"Petrol","Four-wheel Drive",NA,NA,0,1,1,1,1,1,46790
"Jaguar",2004,109158,3,1,"Petrol","Rear-wheel Drive",23,33,1,0,0,0,0,0,4999
"Lexus",2021,16503,3.5,1,"Petrol","Four-wheel Drive",28,29,0,NA,0,1,1,0,48493
"Audi",2021,13013,3,1,"Petrol","Four-wheel Drive",18,24,0,1,0,1,0,1,49456
"Jeep",2017,50163,3.6,1,"Petrol","Four-wheel Drive",NA,NA,0,0,1,1,0,1,27599
"Chevrolet",2021,60682,2.7,1,"Petrol","Rear-wheel Drive",20,23,0,1,0,1,0,0,32714
"Honda",2019,66017,2,1,"Petrol","Front-wheel Drive",22,32,1,0,0,1,0,1,26500
"Mitsubishi",2022,6231,2.5,1,"Petrol","Four-wheel Drive",36,43,0,1,0,1,1,0,30990
"Mercedes-Benz",2022,5469,2,1,"Petrol","Four-wheel Drive",18,23,0,1,0,1,0,1,50884
"Volkswagen",2021,24047,3.6,1,"Petrol","Four-wheel Drive",21,27,0,1,1,1,0,1,43505
"Land",2020,59170,3,1,"Petrol","Four-wheel Drive",14,19,0,1,0,1,0,0,35314
"Cadillac",2021,23479,2,1,"Petrol","Four-wheel Drive",14,19,1,1,1,1,0,0,39994
"Ford",2007,122655,4.6,1,"Petrol","Rear-wheel Drive",NA,NA,1,1,0,0,0,0,12888
"Volvo",2004,56356,2.5,0,"Petrol","Four-wheel Drive",22,30,0,0,0,0,0,0,22985
"Maserati",2009,102138,4.2,1,"Petrol","Rear-wheel Drive",NA,NA,0,0,1,1,0,1,12950
"Lexus",2008,139385,4.7,1,"Petrol","Four-wheel Drive",28,29,1,0,1,0,1,1,16500
"Mercedes-Benz",2013,60621,4.6,1,"Petrol","Rear-wheel Drive",15,24,1,0,1,1,0,1,32995
"MINI",2015,46784,2,1,"Petrol","Front-wheel Drive",26,35,1,0,0,1,0,0,17399
"Cadillac",1984,35021,4.1,1,"Petrol","Front-wheel Drive",15,24,0,0,0,0,0,0,11999
"Kia",2020,44765,1.6,1,"Petrol","Front-wheel Drive",20,28,NA,NA,0,1,0,0,17310
